268,14,19.142857142857142,166,2
313,9,34.77777777777778,212,2
142,34,4.176470588235294,63,1+
170,27,6.296296296296297,81,1
136,31,4.387096774193548,84,1
146,25,5.84,85,1
243,9,27.0,152,2
266,9,29.555555555555557,178,3
321,13,24.692307692307693,198,3
0,1,0.0,0,1
291,11,26.454545454545453,197,2
276,17,16.235294117647058,156,2
406,9,45.111111111111114,235,2
95,15,6.333333333333333,64,1
247,12,20.583333333333332,85,1+
311,15,20.733333333333334,200,2
178,15,11.866666666666667,102,1+
292,14,20.857142857142858,163,2
281,12,23.416666666666668,196,2+
324,11,29.454545454545453,168,2+
78,8,9.75,59,1+
220,9,24.444444444444443,135,2+
361,11,32.81818181818182,186,2
383,14,27.357142857142858,239,2+
159,11,14.454545454545455,124,1+
191,9,21.22222222222222,119,2+
273,11,24.818181818181817,176,3
381,13,29.307692307692307,217,3
326,7,46.57142857142857,165,2+
398,14,28.428571428571427,253,3
345,10,34.5,215,3
474,31,15.290322580645162,262,3
231,8,28.875,147,2
295,12,24.583333333333332,204,2+
253,15,16.866666666666667,150,2
83,12,6.916666666666667,57,1
469,24,19.541666666666668,283,3
143,8,17.875,88,2
293,11,26.636363636363637,164,2+
343,22,15.590909090909092,184,3
244,15,16.266666666666666,157,3
274,34,8.058823529411764,165,2+
271,10,27.1,170,2
271,11,24.636363636363637,177,2
251,12,20.916666666666668,146,3
201,9,22.333333333333332,123,2
494,21,23.523809523809526,275,2+
356,15,23.733333333333334,148,3
224,10,22.4,145,2+
338,12,28.166666666666668,198,2+
311,13,23.923076923076923,199,2
232,12,19.333333333333332,126,2+
93,4,23.25,65,1+
219,12,18.25,132,2+
313,12,26.083333333333332,188,2
326,13,25.076923076923077,192,3
318,10,31.8,196,2
67,14,4.785714285714286,48,1
204,12,17.0,139,2
217,9,24.11111111111111,125,2+
327,12,27.25,206,3
377,32,11.78125,169,2+
161,9,17.88888888888889,109,2+
276,11,25.09090909090909,148,2
116,15,7.733333333333333,80,1
249,9,27.666666666666668,146,2
252,10,25.2,153,3
160,12,13.333333333333334,122,1+
132,6,22.0,97,1+
208,9,23.11111111111111,128,2
188,8,23.5,115,2
359,13,27.615384615384617,203,2+
307,18,17.055555555555557,181,2+
165,10,16.5,102,1+
174,18,9.666666666666666,105,1
155,5,31.0,108,1+
263,8,32.875,157,2+
271,16,16.9375,142,2+
200,14,14.285714285714286,128,1+
155,20,7.75,103,1
253,14,18.071428571428573,164,1+
272,9,30.22222222222222,146,2
18,3,6.0,17,1
293,11,26.636363636363637,160,3
158,11,14.363636363636363,123,1+
313,81,3.8641975308641974,147,3
200,29,6.896551724137931,118,1
586,20,29.3,295,3
291,13,22.384615384615383,213,2
292,18,16.22222222222222,159,2
90,4,22.5,68,2
246,15,16.4,144,3
314,14,22.428571428571427,197,2+
191,9,21.22222222222222,121,1+
234,13,18.0,142,3
67,13,5.153846153846154,50,1
170,9,18.88888888888889,102,3
247,21,11.761904761904763,150,2
254,19,13.368421052631579,155,1
267,8,33.375,176,2+
453,16,28.3125,236,2+
315,12,26.25,170,2+
332,17,19.529411764705884,203,2
322,24,13.416666666666666,170,3
322,24,13.416666666666666,170,3
254,19,13.368421052631579,146,2
254,12,21.166666666666668,141,2+
354,26,13.615384615384615,193,3
229,12,19.083333333333332,143,2
112,17,6.588235294117647,74,1
242,11,22.0,143,2+
157,6,26.166666666666668,102,1+
390,7,55.714285714285715,230,2+
211,13,16.23076923076923,130,2
443,15,29.533333333333335,213,2
189,17,11.117647058823529,121,2
204,11,18.545454545454547,149,2
120,10,12.0,81,1
226,18,12.555555555555555,133,2
306,13,23.53846153846154,169,2
367,44,8.340909090909092,169,2+
461,31,14.870967741935484,276,2+
205,13,15.76923076923077,136,2
265,17,15.588235294117647,147,1+
66,13,5.076923076923077,39,1
320,24,13.333333333333334,170,2
10,6,1.6666666666666667,6,1
289,12,24.083333333333332,183,2+
274,17,16.11764705882353,180,2
201,16,12.5625,112,2+
229,21,10.904761904761905,155,1+
194,14,13.857142857142858,139,3
430,17,25.294117647058822,225,2+
259,11,23.545454545454547,156,2
371,23,16.130434782608695,228,2+
106,6,17.666666666666668,65,2
541,16,33.8125,318,2+
249,10,24.9,133,2
180,14,12.857142857142858,118,2+
154,9,17.11111111111111,104,2
426,26,16.384615384615383,213,2
229,9,25.444444444444443,149,3
180,14,12.857142857142858,123,2+
164,4,41.0,101,2+
435,21,20.714285714285715,233,3
448,22,20.363636363636363,269,2+
280,8,35.0,157,2
279,13,21.46153846153846,151,2+
345,28,12.321428571428571,182,2
160,14,11.428571428571429,107,1
65,4,16.25,46,2+
318,14,22.714285714285715,176,2
227,22,10.318181818181818,155,2
238,12,19.833333333333332,139,2
235,23,10.217391304347826,127,1+
283,19,14.894736842105264,149,2
316,17,18.58823529411765,173,3
259,18,14.38888888888889,147,3
290,17,17.058823529411764,166,2
316,14,22.571428571428573,199,2+
291,12,24.25,158,3
234,11,21.272727272727273,149,2
228,8,28.5,145,1+
111,21,5.285714285714286,70,1
176,12,14.666666666666666,99,1
159,24,6.625,89,1
131,22,5.954545454545454,100,1
287,12,23.916666666666668,188,2
301,12,25.083333333333332,191,2+
245,16,15.3125,139,2+
170,6,28.333333333333332,108,2
237,10,23.7,148,3
291,18,16.166666666666668,202,2+
155,8,19.375,111,1+
223,9,24.77777777777778,120,2+
200,13,15.384615384615385,126,2
280,16,17.5,172,2
164,10,16.4,105,2
221,10,22.1,137,2+
178,7,25.428571428571427,105,2
195,10,19.5,110,2
185,8,23.125,130,2+
